Year,month,average temp
1888,January,
1889,January,31.2
1890,January,29.8
1891,January,34.0
1892,January,25.5
1893,January,21.7
1894,January,
1895,January,
1896,January,
1897,January,27.3
1898,January,32.5
1899,January,30.9
1900,January,34.6
1901,January,34.7
1902,January,30.7
1903,January,31.6
1904,January,26.9
1905,January,21.0
1906,January,34.2
1907,January,31.1
1908,January,34.3
1909,January,29.5
1910,January,30.6
1911,January,32.8
1912,January,16.7
1913,January,30.1
1914,January,36.3
1915,January,28.6
1916,January,27.4
1917,January,31.0
1918,January,17.3
1919,January,34.4
1920,January,29.3
1921,January,37.3
1922,January,29.7
1923,January,39.0
1924,January,25.4
1925,January,29.3
1926,January,32.4
1927,January,30.8
1928,January,33.6
1929,January,21.1
1930,January,18.6
1931,January,38.2
1932,January,32.8
1933,January,42.4
1934,January,35.5
1935,January,32.4
1936,January,21.7
1937,January,23.0
1938,January,32.0
1939,January,38.5
1940,January,12.8
1941,January,32.2
1942,January,31.5
1943,January,28.3
1944,January,36.0
1945,January,30.6
1946,January,33.0
1947,January,33.2
1948,January,25.1
1949,January,25.9
1950,January,30.3
1951,January,30.6
1952,January,33.8
1953,January,34.4
1954,January,29.2
1955,January,32.4
1956,January,27.9
1957,January,25.6
1958,January,31.9
1959,January,26.6
1960,January,30.9
1961,January,31.7
1962,January,23.5
1963,January,19.8
1964,January,37.1
1965,January,31.4
1966,January,27.9
1967,January,33.9
1968,January,28.4
1969,January,26.5
1970,January,26.1
1971,January,27.6
1972,January,27.3
1973,January,27.3
1974,January,23.8
1975,January,29.8
1976,January,27.5
1977,January,15.5
1978,January,16.8
1979,January,12.5
1980,January,28.7
1981,January,30.3
1982,January,18.6
1983,January,30.0
1984,January,25.0
1985,January,18.6
1986,January,34.5
1987,January,29.7
1988,January,26.7
1989,January,37.7
1990,January,37.9
1991,January,22.9
1992,January,35.8
1993,January,25.9
1994,January,25.1
1995,January,28.1
1996,January,23.1
1997,January,24.3
1998,January,33.8
1999,January,27.7
2000,January,31.7
2001,January,29.2
2002,January,34.1
2003,January,27.3
2004,January,27.3
2005,January,28.3
2006,January,42.7
2007,January,28.8
2008,January,27.5
2009,January,27.5
2010,January,23.8
2011,January,22.8
2012,January,35.1
2013,January,32.8
2014,January,24.5
2015,January,31.2
2016,January,29.6
2017,January,32.3
2018,January,28.4
2019,January,28.1
2020,January,32.3
2021,January,34.1
1888,February,
1889,February,28.5
1890,February,34.0
1891,February,30.1
1892,February,36.8
1893,February,28.9
1894,February,27.5
1895,February,24.5
1896,February,36.0
1897,February,32.9
1898,February,35.4
1899,February,19.4
1900,February,25.2
1901,February,26.7
1902,February,23.4
1903,February,28.5
1904,February,29.0
1905,February,21.2
1906,February,33.7
1907,February,33.4
1908,February,34.5
1909,February,37.0
1910,February,28.2
1911,February,36.0
1912,February,27.8
1913,February,28.1
1914,February,26.8
1915,February,38.2
1916,February,30.2
1917,February,29.4
1918,February,33.9
1919,February,35.0
1920,February,34.1
1921,February,40.7
1922,February,33.3
1923,February,31.1
1924,February,34.6
1925,February,37.9
1926,February,39.3
1927,February,40.3
1928,February,37.2
1929,February,24.0
1930,February,46.2
1931,February,42.2
1932,February,42.0
1933,February,32.1
1934,February,33.4
1935,February,36.8
1936,February,19.7
1937,February,31.1
1938,February,38.1
1939,February,29.4
1940,February,32.7
1941,February,31.8
1942,February,32.2
1943,February,38.6
1944,February,35.6
1945,February,35.0
1946,February,41.7
1947,February,28.9
1948,February,30.9
1949,February,32.4
1950,February,35.4
1951,February,34.8
1952,February,39.4
1953,February,40.3
1954,February,45.4
1955,February,31.4
1956,February,34.4
1957,February,39.1
1958,February,27.3
1959,February,34.1
1960,February,28.3
1961,February,38.6
1962,February,34.9
1963,February,32.3
1964,February,36.2
1965,February,32.3
1966,February,33.7
1967,February,33.5
1968,February,32.3
1969,February,34.1
1970,February,36.7
1971,February,31.5
1972,February,33.1
1973,February,33.8
1974,February,35.3
1975,February,27.8
1976,February,42.7
1977,February,35.0
1978,February,19.5
1979,February,20.9
1980,February,25.2
1981,February,33.3
1982,February,27.8
1983,February,35.8
1984,February,38.9
1985,February,25.3
1986,February,30.4
1987,February,39.4
1988,February,27.9
1989,February,22.8
1990,February,36.2
1991,February,39.4
1992,February,39.7
1993,February,28.6
1994,February,30.0
1995,February,35.9
1996,February,34.2
1997,February,33.8
1998,February,41.2
1999,February,41.2
2000,February,40.8
2001,February,29.9
2002,February,37.0
2003,February,30.3
2004,February,31.4
2005,February,38.3
2006,February,35.3
2007,February,28.1
2008,February,27.7
2009,February,36.8
2010,February,27.3
2011,February,29.5
2012,February,38.1
2013,February,32.4
2014,February,24.7
2015,February,25.2
2016,February,39.1
2017,February,43.6
2018,February,32.3
2019,February,27.6
2020,February,35.4
2021,February,23.2
1888,March,
1889,March,45.5
1890,March,38.3
1891,March,33.9
1892,March,37.5
1893,March,40.6
1894,March,49.4
1895,March,43.1
1896,March,38.4
1897,March,42.2
1898,March,44.9
1899,March,35.0
1900,March,40.8
1901,March,42.2
1902,March,44.8
1903,March,45.4
1904,March,43.6
1905,March,50.8
1906,March,31.9
1907,March,52.1
1908,March,47.7
1909,March,42.5
1910,March,58.3
1911,March,46.8
1912,March,32.0
1913,March,39.4
1914,March,43.1
1915,March,34.7
1916,March,45.7
1917,March,44.2
1918,March,50.8
1919,March,45.3
1920,March,45.3
1921,March,50.9
1922,March,45.0
1923,March,39.5
1924,March,37.9
1925,March,46.6
1926,March,39.9
1927,March,45.5
1928,March,47.5
1929,March,48.2
1930,March,43.6
1931,March,39.2
1932,March,36.4
1933,March,44.2
1934,March,41.9
1935,March,51.2
1936,March,48.9
1937,March,39.7
1938,March,52.1
1939,March,45.9
1940,March,42.7
1941,March,40.6
1942,March,44.9
1943,March,38.9
1944,March,39.2
1945,March,51.7
1946,March,55.6
1947,March,37.6
1948,March,39.6
1949,March,42.9
1950,March,40.0
1951,March,38.8
1952,March,39.6
1953,March,46.1
1954,March,41.6
1955,March,43.7
1956,March,45.2
1957,March,43.8
1958,March,38.0
1959,March,46.4
1960,March,30.4
1961,March,43.8
1962,March,40.1
1963,March,49.2
1964,March,41.8
1965,March,33.9
1966,March,49.0
1967,March,47.8
1968,March,48.1
1969,March,37.5
1970,March,42.0
1971,March,43.6
1972,March,47.1
1973,March,47.7
1974,March,46.9
1975,March,36.5
1976,March,44.9
1977,March,48.0
1978,March,37.6
1979,March,42.2
1980,March,38.7
1981,March,45.2
1982,March,42.5
1983,March,43.1
1984,March,36.0
1985,March,47.4
1986,March,49.2
1987,March,47.1
1988,March,43.2
1989,March,43.8
1990,March,45.7
1991,March,47.2
1992,March,46.9
1993,March,39.7
1994,March,46.0
1995,March,45.0
1996,March,37.7
1997,March,45.3
1998,March,39.0
1999,March,42.5
2000,March,47.1
2001,March,39.9
2002,March,40.0
2003,March,43.5
2004,March,47.6
2005,March,43.7
2006,March,46.5
2007,March,52.6
2008,March,41.6
2009,March,45.2
2010,March,45.5
2011,March,43.5
2012,March,58.4
2013,March,37.8
2014,March,40.1
2015,March,46.7
2016,March,50.5
2017,March,48.0
2018,March,43.6
2019,March,40.2
2020,March,48.8
2021,March,50.2
1888,April,
1889,April,55.5
1890,April,57.1
1891,April,57.0
1892,April,52.5
1893,April,53.0
1894,April,58.0
1895,April,60.6
1896,April,61.4
1897,April,54.7
1898,April,53.3
1899,April,53.9
1900,April,58.0
1901,April,53.9
1902,April,54.0
1903,April,55.7
1904,April,49.0
1905,April,55.0
1906,April,59.9
1907,April,47.7
1908,April,55.9
1909,April,52.7
1910,April,56.0
1911,April,53.6
1912,April,55.4
1913,April,57.2
1914,April,55.3
1915,April,62.2
1916,April,52.7
1917,April,52.1
1918,April,49.3
1919,April,54.4
1920,April,47.9
1921,April,55.9
1922,April,55.9
1923,April,54.1
1924,April,56.8
1925,April,60.1
1926,April,49.3
1927,April,57.0
1928,April,51.3
1929,April,57.0
1930,April,60.4
1931,April,55.3
1932,April,57.8
1933,April,55.1
1934,April,57.7
1935,April,52.2
1936,April,54.3
1937,April,54.0
1938,April,56.3
1939,April,53.9
1940,April,54.0
1941,April,59.1
1942,April,60.5
1943,April,57.2
1944,April,50.3
1945,April,54.4
1946,April,60.5
1947,April,54.0
1948,April,61.9
1949,April,55.1
1950,April,50.9
1951,April,51.3
1952,April,54.6
1953,April,50.9
1954,April,60.7
1955,April,63.3
1956,April,53.5
1957,April,54.6
1958,April,55.5
1959,April,56.4
1960,April,58.2
1961,April,50.1
1962,April,54.5
1963,April,59.1
1964,April,57.4
1965,April,58.5
1966,April,52.8
1967,April,58.9
1968,April,57.0
1969,April,56.3
1970,April,57.4
1971,April,59.7
1972,April,57.4
1973,April,51.8
1974,April,56.2
1975,April,52.8
1976,April,56.3
1977,April,59.6
1978,April,55.5
1979,April,51.6
1980,April,54.6
1981,April,61.1
1982,April,51.1
1983,April,46.3
1984,April,50.3
1985,April,57.9
1986,April,57.1
1987,April,56.8
1988,April,54.5
1989,April,56.9
1990,April,52.7
1991,April,56.7
1992,April,53.1
1993,April,50.4
1994,April,53.8
1995,April,52.9
1996,April,52.8
1997,April,48.8
1998,April,54.3
1999,April,54.5
2000,April,55.0
2001,April,60.3
2002,April,56.9
2003,April,57.4
2004,April,56.9
2005,April,56.8
2006,April,62.1
2007,April,51.9
2008,April,51.6
2009,April,53.0
2010,April,60.4
2011,April,55.8
2012,April,59.0
2013,April,49.9
2014,April,53.6
2015,April,56.8
2016,April,57.1
2017,April,57.0
2018,April,47.4
2019,April,56.5
2020,April,52.6
2021,April,55.6
1888,May,
1889,May,63.3
1890,May,63.5
1891,May,60.8
1892,May,59.8
1893,May,61.5
1894,May,64.9
1895,May,65.4
1896,May,69.6
1897,May,64.5
1898,May,64.6
1899,May,67.7
1900,May,66.7
1901,May,63.8
1902,May,69.4
1903,May,64.5
1904,May,63.3
1905,May,65.0
1906,May,66.9
1907,May,58.6
1908,May,64.3
1909,May,62.9
1910,May,59.7
1911,May,68.7
1912,May,68.7
1913,May,66.0
1914,May,66.8
1915,May,62.3
1916,May,65.4
1917,May,58.9
1918,May,69.1
1919,May,62.9
1920,May,63.3
1921,May,67.0
1922,May,66.8
1923,May,63.0
1924,May,58.7
1925,May,62.0
1926,May,68.6
1927,May,64.3
1928,May,67.8
1929,May,61.2
1930,May,63.9
1931,May,62.0
1932,May,67.1
1933,May,65.5
1934,May,71.0
1935,May,59.8
1936,May,70.9
1937,May,67.2
1938,May,65.2
1939,May,70.1
1940,May,63.6
1941,May,70.5
1942,May,64.2
1943,May,62.7
1944,May,69.5
1945,May,60.7
1946,May,62.2
1947,May,61.9
1948,May,65.5
1949,May,68.9
1950,May,66.9
1951,May,66.6
1952,May,65.9
1953,May,64.4
1954,May,61.7
1955,May,67.6
1956,May,69.7
1957,May,65.6
1958,May,68.2
1959,May,69.0
1960,May,65.6
1961,May,60.5
1962,May,74.7
1963,May,67.5
1964,May,70.1
1965,May,71.6
1966,May,65.5
1967,May,61.6
1968,May,62.2
1969,May,66.0
1970,May,72.0
1971,May,64.4
1972,May,67.1
1973,May,61.5
1974,May,65.5
1975,May,67.1
1976,May,60.0
1977,May,69.0
1978,May,62.0
1979,May,63.5
1980,May,63.9
1981,May,60.4
1982,May,65.5
1983,May,59.6
1984,May,60.4
1985,May,65.9
1986,May,65.2
1987,May,70.6
1988,May,69.0
1989,May,63.2
1990,May,60.4
1991,May,67.6
1992,May,62.5
1993,May,63.5
1994,May,64.5
1995,May,59.3
1996,May,64.5
1997,May,59.8
1998,May,71.1
1999,May,63.4
2000,May,67.3
2001,May,66.1
2002,May,61.9
2003,May,63.2
2004,May,67.3
2005,May,64.6
2006,May,67.0
2007,May,68.1
2008,May,63.6
2009,May,64.7
2010,May,64.0
2011,May,63.0
2012,May,69.6
2013,May,62.7
2014,May,66.0
2015,May,63.5
2016,May,62.7
2017,May,63.8
2018,May,73.4
2019,May,62.9
2020,May,62.1
2021,May,63.6
1888,June,
1889,June,70.8
1890,June,77.1
1891,June,71.5
1892,June,74.1
1893,June,72.8
1894,June,75.0
1895,June,73.0
1896,June,72.3
1897,June,75.1
1898,June,76.1
1899,June,74.4
1900,June,73.9
1901,June,79.3
1902,June,70.4
1903,June,68.9
1904,June,71.0
1905,June,75.9
1906,June,73.5
1907,June,72.0
1908,June,71.3
1909,June,73.4
1910,June,71.4
1911,June,80.8
1912,June,70.1
1913,June,75.7
1914,June,78.5
1915,June,69.9
1916,June,70.5
1917,June,72.7
1918,June,80.0
1919,June,75.2
1920,June,73.2
1921,June,77.1
1922,June,77.2
1923,June,74.1
1924,June,72.4
1925,June,76.5
1926,June,72.3
1927,June,70.4
1928,June,68.3
1929,June,72.5
1930,June,73.4
1931,June,79.7
1932,June,76.5
1933,June,81.8
1934,June,83.2
1935,June,71.5
1936,June,78.4
1937,June,75.7
1938,June,74.0
1939,June,76.1
1940,June,74.7
1941,June,74.8
1942,June,74.2
1943,June,76.6
1944,June,76.9
1945,June,68.9
1946,June,76.2
1947,June,73.4
1948,June,74.7
1949,June,77.0
1950,June,75.2
1951,June,69.6
1952,June,83.7
1953,June,82.6
1954,June,79.2
1955,June,71.3
1956,June,77.8
1957,June,75.1
1958,June,73.6
1959,June,77.1
1960,June,74.4
1961,June,72.3
1962,June,74.7
1963,June,79.2
1964,June,73.6
1965,June,74.6
1966,June,73.3
1967,June,72.9
1968,June,77.6
1969,June,70.1
1970,June,74.5
1971,June,79.3
1972,June,76.9
1973,June,74.4
1974,June,70.5
1975,June,74.2
1976,June,71.3
1977,June,74.5
1978,June,74.5
1979,June,72.1
1980,June,75.3
1981,June,74.0
1982,June,68.8
1983,June,70.7
1984,June,74.3
1985,June,68.8
1986,June,76.5
1987,June,76.0
1988,June,78.1
1989,June,71.0
1990,June,75.4
1991,June,76.1
1992,June,69.7
1993,June,72.9
1994,June,75.8
