Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1888,M,M,M,M,M,M,80.2,74.2,67.3,54.5,42.1,36,59.1
1889,31.2,28.5,45.5,55.5,63.3,70.8,76.8,74.3,64.7,54.9,40,46.8,54.4
1890,29.8,34,38.3,57.1,63.5,77.1,80.5,73.7,63.3,56.1,46.5,37.4,54.8
1891,34,30.1,33.9,57,60.8,71.5,72.4,73.5,71.5,56.7,39.1,39.7,53.4
1892,25.5,36.8,37.5,52.5,59.8,74.1,75.9,76.6,70.1,59,40.4,27.2,53
1893,21.7,28.9,40.6,53,61.5,72.8,77.6,73.2,71.4,M,M,35,53.6
1894,M,27.5,49.4,58,64.9,75,76.9,78.3,69.2,60.2,M,M,62.2
1895,M,24.5,43.1,60.6,65.4,73,74.2,75.5,73.2,54.1,M,M,60.4
1896,M,36,38.4,61.4,69.6,72.3,77.7,77.5,64.8,55,40.5,40.3,57.6
1897,27.3,32.9,42.2,54.7,64.5,75.1,80.4,75,76.8,63.9,43.9,28,55.4
1898,32.5,35.4,44.9,53.3,64.6,76.1,77.3,77.2,71.4,53.5,40.3,27.5,54.5
1899,30.9,19.4,35,53.9,67.7,74.4,76.2,79.4,68.2,64.2,50.5,30.2,54.2
1900,34.6,25.2,40.8,58,66.7,73.9,77.2,80.2,71,63.6,42.2,35.8,55.8
1901,34.7,26.7,42.2,53.9,63.8,79.3,87.1,79.3,68.8,61.8,44.8,28.5,55.9
1902,30.7,23.4,44.8,54,69.4,70.4,77.6,76.2,63.9,61,49,29.1,54.1
1903,31.6,28.5,45.4,55.7,64.5,68.9,78.6,75,66.9,58.2,41.2,31.9,53.9
1904,26.9,29,43.6,49,63.3,71,75,74.3,70.9,59.5,48.5,32.6,53.6
1905,21,21.2,50.8,55,65,75.9,74.3,78.4,70.8,55.4,46.8,34.1,54.1
1906,34.2,33.7,31.9,59.9,66.9,73.5,75.5,77.6,72.3,56.6,41.8,35.7,55
1907,31.1,33.4,52.1,47.7,58.6,72,78.5,76.7,68.7,56.9,44.3,36.2,54.7
1908,34.3,34.5,47.7,55.9,64.3,71.3,76.3,75.6,71.7,55.7,46.1,37.3,55.9
1909,29.5,37,42.5,52.7,62.9,73.4,77.7,80.5,68.8,57.3,51.9,22.2,54.7
1910,30.6,28.2,58.3,56,59.7,71.4,78.9,75.3,68.6,61.2,43.8,31.9,55.3
1911,32.8,36,46.8,53.6,68.7,80.8,79.3,78,73.4,55.4,39,35.8,56.6
1912,16.7,27.8,32,55.4,68.7,70.1,79.8,77.3,67.4,59.9,47.3,36.7,53.3
1913,30.1,28.1,39.4,57.2,66,75.7,81.7,85.4,69.1,54.6,51.5,37.8,56.4
1914,36.3,26.8,43.1,55.3,66.8,78.5,80.7,78,70.4,60,50.2,24.2,55.9
1915,28.6,38.2,34.7,62.2,62.3,69.9,74.6,70.1,70,62,49.9,34.8,54.8
1916,27.4,30.2,45.7,52.7,65.4,70.5,83.3,78.9,67.7,57.4,46.9,29.9,54.7
1917,31,29.4,44.2,52.1,58.9,72.7,79.9,73.6,68.7,50.3,47.7,23.4,52.7
1918,17.3,33.9,50.8,49.3,69.1,80,78.7,83.7,63.8,61.4,45.5,39.3,56.1
1919,34.4,35,45.3,54.4,62.9,75.2,81.8,76.6,72.4,56.5,41.3,25.9,55.1
1920,29.3,34.1,45.3,47.9,63.3,73.2,76.8,73.7,70.6,62.4,41.4,35.8,54.5
1921,37.3,40.7,50.9,55.9,67,77.1,81.1,77,73.3,60.1,44.8,35.9,58.4
1922,29.7,33.3,45,55.9,66.8,77.2,76.9,78.7,72,60.7,47.8,34.7,56.6
1923,39,31.1,39.5,54.1,63,74.1,79.3,77.3,69.3,53.6,47,39,55.5
1924,25.4,34.6,37.9,56.8,58.7,72.4,74.5,78.2,65.1,63.7,46.7,25.7,53.3
1925,29.3,37.9,46.6,60.1,62,76.5,78.3,78.2,74.5,47.5,44.4,31.8,55.6
1926,32.4,39.3,39.9,49.3,68.6,72.3,78.9,79,68,57.5,40.5,31.7,54.8
1927,30.8,40.3,45.5,57,64.3,70.4,77,71.4,71.6,62.7,45.2,28.1,55.4
1928,33.6,37.2,47.5,51.3,67.8,68.3,78.4,77.2,66.7,60.8,45.2,36.6,55.9
1929,21.1,24,48.2,57,61.2,72.5,79,78.3,67.8,58.8,38.6,34.8,53.4
1930,18.6,46.2,43.6,60.4,63.9,73.4,82.8,80.3,72.4,56.4,47.5,35.2,56.7
1931,38.2,42.2,39.2,55.3,62,79.7,81.7,76,77.5,62.5,50.6,42.5,59
1932,32.8,42,36.4,57.8,67.1,76.5,81.4,79.2,69,55.8,40.1,30,55.7
1933,42.4,32.1,44.2,55.1,65.5,81.8,80.9,76.2,75.7,58,47.3,39,58.2
1934,35.5,33.4,41.9,57.7,71,83.2,88.3,83.1,66.1,63,47.9,31.1,58.5
1935,32.4,36.8,51.2,52.2,59.8,71.5,86.8,80.3,70.2,56.2,41.5,32.2,55.9
1936,21.7,19.7,48.9,54.3,70.9,78.4,87.7,87,73.6,57.2,42.5,38.8,56.7
1937,23,31.1,39.7,54,67.2,75.7,81.4,83.8,72.1,57,39.8,31.2,54.7
1938,32,38.1,52.1,56.3,65.2,74,82.4,83.1,72.3,66.5,45.1,36.1,58.6
1939,38.5,29.4,45.9,53.9,70.1,76.1,84.7,77,76.7,62.1,43.8,39.4,58.1
1940,12.8,32.7,42.7,54,63.6,74.7,81.5,76.3,70.1,65.4,40.9,37.3,54.3
1941,32.2,31.8,40.6,59.1,70.5,74.8,80,79.5,72.4,60.4,46.3,40,57.3
1942,31.5,32.2,44.9,60.5,64.2,74.2,81.5,76.7,67.7,59,46.8,30.9,55.8
1943,28.3,38.6,38.9,57.2,62.7,76.6,81.3,81,66.3,56.6,41.7,30.6,55
1944,36,35.6,39.2,50.3,69.5,76.9,78.7,76.5,70.5,61.2,46.9,28.2,55.8
1945,30.6,35,51.7,54.4,60.7,68.9,77.4,79.7,69.8,57.3,46.3,25.8,54.8
1946,33,41.7,55.6,60.5,62.2,76.2,81.2,77,69.3,62.2,46.5,38.6,58.7
1947,33.2,28.9,37.6,54,61.9,73.4,78.8,86.3,73.8,68,40,37.3,56.1
1948,25.1,30.9,39.6,61.9,65.5,74.7,79.5,79.3,72.7,57.3,46.2,35.8,55.7
1949,25.9,32.4,42.9,55.1,68.9,77,80.7,77.2,64.5,60.7,49.8,37.1,56
1950,30.3,35.4,40,50.9,66.9,75.2,72.5,72,67.9,64.8,40.8,30.7,54
1951,30.6,34.8,38.8,51.3,66.6,69.6,77.5,78.1,66,57.5,39.7,30.7,53.4
1952,33.8,39.4,39.6,54.6,65.9,83.7,80.4,77.3,72.1,55.4,44.6,34,56.7
1953,34.4,40.3,46.1,50.9,64.4,82.6,81.1,80,74.1,63.4,47.3,36.1,58.4
1954,29.2,45.4,41.6,60.7,61.7,79.2,87.1,81.4,76.5,59.4,48.9,36.9,59
1955,32.4,31.4,43.7,63.3,67.6,71.3,85.4,80.9,73.5,60,40,31.8,56.8
1956,27.9,34.4,45.2,53.5,69.7,77.8,80.8,81.4,74,66.1,44.1,36.7,57.6
1957,25.6,39.1,43.8,54.6,65.6,75.1,83.2,81.2,67.9,55.3,43.1,39.4,56.2
1958,31.9,27.3,38,55.5,68.2,73.6,77,79.4,71.4,61.6,49.9,32,55.5
1959,26.6,34.1,46.4,56.4,69,77.1,77.9,82.2,70.8,55.5,38.9,40.3,56.3
1960,30.9,28.3,30.4,58.2,65.6,74.4,77.7,80.2,73.9,61.6,46.3,31.1,54.9
1961,31.7,38.6,43.8,50.1,60.5,72.3,77.3,75.4,66,59,43.8,28.5,53.9
1962,23.5,34.9,40.1,54.5,74.7,74.7,78,79.3,66.8,61.8,46.4,32.7,55.6
1963,19.8,32.3,49.2,59.1,67.5,79.2,81.6,79,74.1,72,49.8,25.2,57.4
1964,37.1,36.2,41.8,57.4,70.1,73.6,82.4,76,69.4,57.6,49.8,32.3,57
1965,31.4,32.3,33.9,58.5,71.6,74.6,78.5,77.1,69.9,60.4,48.2,43.9,56.7
1966,27.9,33.7,49,52.8,65.5,73.3,83.3,74.8,68.8,59.7,49.1,34.7,56.1
1967,33.9,33.5,47.8,58.9,61.6,72.9,76.5,75,67.9,58.6,44.4,35.4,55.5
1968,28.4,32.3,48.1,57,62.2,77.6,79.3,77.8,69.5,59.6,41.2,29.6,55.2
1969,26.5,34.1,37.5,56.3,66,70.1,81.3,78.9,71.8,55.7,46.1,33,54.8
1970,26.1,36.7,42,57.4,72,74.5,80.8,82.3,71.6,58.6,44.4,38.9,57.1
1971,27.6,31.5,43.6,59.7,64.4,79.3,76.4,78.3,72.6,64,46.9,36.9,56.8
1972,27.3,33.1,47.1,57.4,67.1,76.9,77.1,77.3,70.8,53.9,39.6,27.5,54.6
1973,27.3,33.8,47.7,51.8,61.5,74.4,76.6,77.1,66.7,60.6,45.5,30,54.4
1974,23.8,35.3,46.9,56.2,65.5,70.5,82.1,73,61.6,57.6,42.8,32.2,54
1975,29.8,27.8,36.5,52.8,67.1,74.2,80.8,79.7,63.5,58.9,45.9,34,54.3
1976,27.5,42.7,44.9,56.3,60,71.3,79,77.7,68.9,50.8,35.9,29,53.7
1977,15.5,35,48,59.6,69,74.5,79.7,74.4,69,55.7,42.3,29.5,54.4
1978,16.8,19.5,37.6,55.5,62,74.5,79.3,76.5,73.6,56.4,44.3,31,52.2
1979,12.5,20.9,42.2,51.6,63.5,72.1,75.8,75.7,68.5,57.7,40.7,35.1,51.4
1980,28.7,25.2,38.7,54.6,63.9,75.3,85.1,80.3,69.6,54.1,44.5,32.1,54.3
1981,30.3,33.3,45.2,61.1,60.4,74,78.2,72.8,68.4,55.3,45.6,29,54.5
1982,18.6,27.8,42.5,51.1,65.5,68.8,79.4,75,67.4,55.6,41.8,35.5,52.4
1983,30,35.8,43.1,46.3,59.6,70.7,81.5,83.5,71.2,57.1,44.3,13.2,53
1984,25,38.9,36,50.3,60.4,74.3,76.1,79,66.1,56.8,43.9,35.5,53.5
1985,18.6,25.3,47.4,57.9,65.9,68.8,77,72.1,66.7,56.5,36.8,22.9,51.3
1986,34.5,30.4,49.2,57.1,65.2,76.5,79.7,72,71.8,56.8,37.9,34.5,55.5
1987,29.7,39.4,47.1,56.8,70.6,76,79.9,76.4,67.8,52,46.7,35,56.5
1988,26.7,27.9,43.2,54.5,69,78.1,79.5,81.3,70.4,52.2,45.2,35.2,55.3
1989,37.7,22.8,43.8,56.9,63.2,71,77.8,75.5,63.1,57.9,42.3,21.1,52.8
1990,37.9,36.2,45.7,52.7,60.4,75.4,77.3,77.1,72,57.1,50.1,29.2,55.9
1991,22.9,39.4,47.2,56.7,67.6,76.1,80.6,77.7,68.8,57.6,36.7,36.1,55.6
1992,35.8,39.7,46.9,53.1,62.5,69.7,74.4,70.7,66.1,56.5,39,32.9,53.9
1993,25.9,28.6,39.7,50.4,63.5,72.9,77.6,77.8,62.7,53.5,39.4,34.5,52.2
1994,25.1,30,46,53.8,64.5,75.8,75.9,75.3,67.6,57.5,46.3,36.4,54.5
1995,28.1,35.9,45,52.9,59.3,72.7,78.2,78.9,65.2,57.1,40,31.1,53.7
1996,23.1,34.2,37.7,52.8,64.5,73.8,75.2,74.8,64.8,56.3,37,29.6,52
1997,24.3,33.8,45.3,48.8,59.8,73.1,77.7,74.5,69.2,57.9,40.6,33.5,53.2
1998,33.8,41.2,39,54.3,71.1,73.5,77.8,77,72.4,58.6,48,34.7,56.8
